STANDAR RESEP,,,,,
Lauk Hewani (Telur Ayam),Telur Dadar,Bawang Merah Iris,1000,g,Telur Ayam Kotor (Kg)
Lauk Hewani (Telur Ayam),Telur Dadar,Bawang Putih Kupas,1000,g,38
Lauk Hewani (Telur Ayam),Telur Dadar,Daun Bawang,1500,g,Telur Ayam Bersih (Kg)
Lauk Hewani (Telur Ayam),Telur Dadar,Lada Putih Bubuk,100,g,
Lauk Hewani (Telur Ayam),Telur Dadar,Garam Refina @500g,,,
Lauk Hewani (Telur Ayam),Telur Dadar,Totole Kaldu Jamur Non Kolesterol @1kg,,,
Lauk Hewani (Telur Ayam),Telur Dadar Padang,Telur Ayam,38000,g,43
Lauk Hewani (Telur Ayam),Telur Dadar Padang,Kol,5000,g,Telur Ayam Kotor (Kg)
Lauk Hewani (Telur Ayam),Telur Dadar Padang,Kelapa Parut,1250,g,38
Lauk Hewani (Telur Ayam),Telur Dadar Padang,Cabai Merah Besar,1000,g,Telur Ayam Bersih (Kg)
Lauk Hewani (Telur Ayam),Telur Dadar Padang,Daun Bawang,2000,g,
Lauk Hewani (Telur Ayam),Telur Dadar Padang,Lada Putih Bubuk,100,g,
Lauk Hewani (Telur Ayam),Telur Dadar Padang,Garam Refina @500g,,,
Lauk Hewani (Telur Ayam),Telur Dadar Padang,Totole Kaldu Jamur Non Kolesterol @1kg,,,
Lauk Hewani (Daging Sapi),Beef Slice Barbeque,Daging Sapi,20000,g,20
Lauk Hewani (Daging Sapi),Beef Slice Barbeque,Saus Barbeque Delmonte @1kg,1200,g,Daging Sapi (Kg)
Lauk Hewani (Daging Sapi),Beef Slice Barbeque,Kecap Manis ABC @825g,620,g,
Lauk Hewani (Daging Sapi),Beef Slice Barbeque,Saus Bulgogi Saori @133ml,310,ml,
Lauk Hewani (Daging Sapi),Beef Slice Barbeque,Gula Pasir,310,g,
Lauk Hewani (Daging Sapi),Beef Slice Barbeque,Minyak Wijen @600ml,220,ml,
Lauk Hewani (Daging Sapi),Beef Slice Barbeque,Saus Sambal Delmonte Extra Hot @1kg,350,g,
Lauk Hewani (Daging Sapi),Beef Slice Barbeque,Bawang Putih Kupas,370,g,
Lauk Hewani (Daging Sapi),Beef Slice Barbeque,Bawang Bombay,1000,g,
Lauk Hewani (Daging Sapi),Beef Slice Barbeque,Lada Putih Bubuk,50,g,
Lauk Hewani (Daging Sapi),Beef Slice Barbeque,Garam Refina @500g,,,
Lauk Hewani (Daging Sapi),Beef Slice Barbeque,Totole Kaldu Jamur Non Kolesterol @1kg,,,
Lauk Hewani (Daging Sapi),Krecek Daging,Daging Sapi,45000,g,45
Lauk Hewani (Daging Sapi),Krecek Daging,Daun Bawang,2000,g,Daging Sapi (Kg)
Lauk Hewani (Daging Sapi),Krecek Daging,Bawang Putih Kupas,3000,g,
Lauk Hewani (Daging Sapi),Krecek Daging,Bawang Merah Kupas,2000,g,
Lauk Hewani (Daging Sapi),Krecek Daging,Cabai Merah Besar,1500,g,
Lauk Hewani (Daging Sapi),Krecek Daging,Jahe Bonggol,1000,g,
Lauk Hewani (Daging Sapi),Krecek Daging,Lengkuas Bonggol,1000,g,
Lauk Hewani (Daging Sapi),Krecek Daging,Daun Salam,3,ikat,
Lauk Hewani (Daging Sapi),Krecek Daging,Sereh,3,ikat,
Lauk Hewani (Daging Sapi),Krecek Daging,Kecap Manis ABC @825g,1500,g,
Lauk Hewani (Daging Sapi),Krecek Daging,Lada Putih Bubuk,125,g,
Lauk Hewani (Daging Sapi),Krecek Daging,Garam Refina @500g,,,
Lauk Hewani (Daging Sapi),Krecek Daging,Gula Pasir,,,
Lauk Hewani (Daging Sapi),Krecek Daging,Totole Kaldu Jamur Non Kolesterol @1kg,,,
Lauk Hewani (Daging Sapi),Rendang Daging,Daging Sapi,30000,g,30
Lauk Hewani (Daging Sapi),Rendang Daging,Bumbu Dasar Rendang,7000,g,Daging Sapi (Kg)
Lauk Hewani (Daging Sapi),Rendang Daging,Daun Salam,1,ikat,
Lauk Hewani (Daging Sapi),Rendang Daging,Sereh,1,ikat,
Lauk Hewani (Daging Sapi),Rendang Daging,Daun Kunyit,0.25,ikat,
Lauk Hewani (Daging Sapi),Rendang Daging,Daun Jeruk,100,g,
Lauk Hewani (Daging Sapi),Rendang Daging,Ketumbar Bubuk,70,g,
Lauk Hewani (Daging Sapi),Rendang Daging,Santan Kelapa Murni,12000,ml,
Lauk Hewani (Daging Sapi),Rendang Daging,Kelapa Parut,700,g,
Lauk Hewani (Daging Sapi),Rendang Daging,Lada Putih Bubuk,50,g,
Lauk Hewani (Daging Sapi),Rendang Daging,Garam Refina @500g,,,
Lauk Hewani (Daging Sapi),Rendang Daging,Gula Pasir,,,
Lauk Hewani (Daging Sapi),Rendang Daging,Totole Kaldu Jamur Non Kolesterol @1kg,,,
Lauk Hewani (Daging Sapi),Semur Daging,Daging Sapi,30000,g,30
Lauk Hewani (Daging Sapi),Semur Daging,Bumbu Dasar Putih,2250,g,Daging Sapi (Kg)
Lauk Hewani (Daging Sapi),Semur Daging,Daun Salam,1,ikat,
Lauk Hewani (Daging Sapi),Semur Daging,Sereh,1,ikat,
Lauk Hewani (Daging Sapi),Semur Daging,Kecap Manis ABC @825g,3000,g,
Lauk Hewani (Daging Sapi),Semur Daging,Lada Putih Bubuk,75,g,
Lauk Hewani (Daging Sapi),Semur Daging,Garam Refina @500g,,,
Lauk Hewani (Daging Sapi),Semur Daging,Gula Pasir,,,
Lauk Hewani (Daging Sapi),Semur Daging,Totole Kaldu Jamur Non Kolesterol @1kg,,,
Lauk Hewani (Ikan),Lele Fillet Crispy,Ikan Lele Fillet,20000,g,20
Lauk Hewani (Ikan),Lele Fillet Crispy,Telur Ayam,82,g,Lele Fillet (Kg)
Lauk Hewani (Ikan),Lele Fillet Crispy,Tepung Terigu Cakra Kembar @1kg,4400,g,
Lauk Hewani (Ikan),Lele Fillet Crispy,Tepung Bumbu Kentucky Sasa @850g,900,g,
Lauk Hewani (Ikan),Lele Fillet Crispy,Maizena,800,g,
Lauk Hewani (Ikan),Lele Fillet Crispy,Bawang Putih Giling,800,g,
Lauk Hewani (Ikan),Lele Fillet Crispy,Jahe Giling,400,g,
Lauk Hewani (Ikan),Lele Fillet Crispy,Lada Putih Bubuk,40,g,
Lauk Hewani (Ikan),Lele Fillet Crispy,Garam Refina @500g,,,
Lauk Hewani (Ikan),Lele Fillet Crispy,Totole Kaldu Jamur Non Kolesterol @1kg,,,
Lauk Hewani (Ikan),Pesmol Nila,Ikan Nila,56000,g,70
Lauk Hewani (Ikan),Pesmol Nila,Bumbu Dasar Kuning,2000,g,Ikan Nila Kotor (Kg)
Lauk Hewani (Ikan),Pesmol Nila,Bumbu Dasar Pesmol (Kunyit Sedikit),2500,g,
Lauk Hewani (Ikan),Pesmol Nila,Tomat Merah,1500,g,
Lauk Hewani (Ikan),Pesmol Nila,Daun Bawang,1000,g,
Lauk Hewani (Ikan),Pesmol Nila,Cabai Merah Besar,1000,g,
Lauk Hewani (Ikan),Pesmol Nila,Lada Putih Bubuk,100,g,
Lauk Hewani (Ikan),Pesmol Nila,Garam Refina @500g,,,
Lauk Hewani (Ikan),Pesmol Nila,Gula Pasir,,,
Lauk Hewani (Ikan),Pesmol Nila,Totole Kaldu Jamur Non Kolesterol @1kg,,,
Lauk Hewani (Ikan),Tuna Suwir Bumbu Kuning,Ikan Tuna,36000,g,45
Lauk Hewani (Ikan),Tuna Suwir Bumbu Kuning,Daun Salam,2,ikat,Ikan Tuna Utuh (Kg)
Lauk Hewani (Ikan),Tuna Suwir Bumbu Kuning,Sereh,2,ikat,30
Lauk Hewani (Ikan),Tuna Suwir Bumbu Kuning,Jahe Bonggol,500,g,Ikan Tuna Kukus Bersih (Kg)
Lauk Hewani (Ikan),Tuna Suwir Bumbu Kuning,Bumbu Dasar Kuning,5000,g,
Lauk Hewani (Ikan),Tuna Suwir Bumbu Kuning,Lada Putih Bubuk,70,g,
Lauk Hewani (Ikan),Tuna Suwir Bumbu Kuning,Garam Refina @500g,,,
Lauk Hewani (Ikan),Tuna Suwir Bumbu Kuning,Gula Pasir,,,
Lauk Hewani (Ikan),Tuna Suwir Bumbu Kuning,Totole Kaldu Jamur Non Kolesterol @1kg,,,
Lauk Hewani (Ikan),Tuna Suwir Bumbu Rica,Ikan Tuna,36000,g,45
Lauk Hewani (Ikan),Tuna Suwir Bumbu Rica,Daun Salam,2,ikat,Ikan Tuna Utuh (Kg)
Lauk Hewani (Ikan),Tuna Suwir Bumbu Rica,Sereh,2,ikat,30
Lauk Hewani (Ikan),Tuna Suwir Bumbu Rica,Jahe Bonggol,500,g,Ikan Tuna Kukus Bersih (Kg)
Lauk Hewani (Ikan),Tuna Suwir Bumbu Rica,Bumbu Dasar Kuning,5000,g,
Lauk Hewani (Ikan),Tuna Suwir Bumbu Rica,Lada Putih Bubuk,70,g,
Lauk Hewani (Ikan),Tuna Suwir Bumbu Rica,Garam Refina @500g,,,
Lauk Hewani (Ikan),Tuna Suwir Bumbu Rica,Gula Pasir,,,
Lauk Hewani (Ikan),Tuna Suwir Bumbu Rica,Totole Kaldu Jamur Non Kolesterol @1kg,,,
Lauk Nabati (Tahu),Tahu Fantasy,Tahu Kuning,7750,g,7750
Lauk Nabati (Tahu),Tahu Fantasy,Wortel,525,g,Tahu Kuning (g)
Lauk Nabati (Tahu),Tahu Fantasy,Daun Bawang,250,g,
Lauk Nabati (Tahu),Tahu Fantasy,Daun Seledri,100,g,
Lauk Nabati (Tahu),Tahu Fantasy,Bawang Putih Kupas,100,g,
Lauk Nabati (Tahu),Tahu Fantasy,Telur Ayam,2225,g,
Lauk Nabati (Tahu),Tahu Fantasy,Bihun Jagung Padamu @300g,1400,g,
Lauk Nabati (Tahu),Tahu Fantasy,Tepung Bumbu Serbaguna Sasa @900g,250,g,
Lauk Nabati (Tahu),Tahu Fantasy,Lada Putih Bubuk,50,g,
Lauk Nabati (Tahu),Tahu Fantasy,Garam Refina @500g,,,
Lauk Nabati (Tahu),Tahu Fantasy,Totole Kaldu Jamur Non Kolesterol @1kg,,,
Lauk Nabati (Tahu),Tahu Goreng,Tahu Kuning,50,g,
Lauk Nabati (Tahu),Tahu Saus Asam Manis,Tahu Kuning,31500,g,31500
Lauk Nabati (Tahu),Tahu Saus Asam Manis,Bawang Putih Kupas,470,g,Tahu Kuning (g)
Lauk Nabati (Tahu),Tahu Saus Asam Manis,Bawang Bombay,3150,g,
Lauk Nabati (Tahu),Tahu Saus Asam Manis,Cabai Merah Besar,700,g,
Lauk Nabati (Tahu),Tahu Saus Asam Manis,Tomat Merah,4725,g,
Lauk Nabati (Tahu),Tahu Saus Asam Manis,Gula Pasir,790,g,
Lauk Nabati (Tahu),Tahu Saus Asam Manis,Saus Tiram Saori @1liter,945,ml,
Lauk Nabati (Tahu),Tahu Saus Asam Manis,Kecap Manis ABC @825g,1890,g,
Lauk Nabati (Tahu),Tahu Saus Asam Manis,Saus Sambal Delmonte Extra Hot @1kg,945,g,
Lauk Nabati (Tahu),Tahu Saus Asam Manis,Saus Tomat Delmonte @1kg,1890,g,
Lauk Nabati (Tahu),Tahu Saus Asam Manis,Garam Refina @500g,400,g,
Lauk Nabati (Tahu),Tahu Saus Asam Manis,Totole Kaldu Jamur Non Kolesterol @1kg,200,g,
Lauk Nabati (Tempe),Kering Tempe,Tempe,500,g,500
Lauk Nabati (Tempe),Kering Tempe,Cabai Merah Besar,6,g,Tempe (g)
Lauk Nabati (Tempe),Kering Tempe,Bawang Merah Iris,18,g,
Lauk Nabati (Tempe),Kering Tempe,Bawang Putih Kupas,9,g,
Lauk Nabati (Tempe),Kering Tempe,Lengkuas Bonggol,18,g,
Lauk Nabati (Tempe),Kering Tempe,Jahe Bonggol,6,g,
Lauk Nabati (Tempe),Kering Tempe,Daun Jeruk,4,g,
Lauk Nabati (Tempe),Kering Tempe,Cabai Merah Besar Giling,15,g,
Lauk Nabati (Tempe),Kering Tempe,Asam Jawa,10,g,
Lauk Nabati (Tempe),Kering Tempe,Kecap Manis ABC @825g,30,g,
Lauk Nabati (Tempe),Kering Tempe,Gula Aren,30,g,
Lauk Nabati (Tempe),Kering Tempe,Garam Refina @500g,2.5,g,
Lauk Nabati (Tempe),Tempe Goreng,Tempe,66000,g,66
Lauk Nabati (Tempe),Tempe Goreng,Ketumbar Bubuk,400,g,Tempe (Kg)
Lauk Nabati (Tempe),Tempe Goreng,Garam Refina @500g,500,g,
Lauk Nabati (Tempe),Tempe Goreng,Totole Kaldu Jamur Non Kolesterol @1kg,300,g,
Lauk Nabati (Tempe),Tempe Goreng Tepung,Tempe,66000,g,66
Lauk Nabati (Tempe),Tempe Goreng Tepung,Tepung Terigu Lencana Merah @1kg,17600,g,Tempe (Kg)
Lauk Nabati (Tempe),Tempe Goreng Tepung,Bumbu Dasar Kuning,700,g,
Lauk Nabati (Tempe),Tempe Goreng Tepung,Lada Putih Bubuk,,g,
Lauk Nabati (Tempe),Tempe Goreng Tepung,Garam Refina @500g,,g,
Lauk Nabati (Tempe),Tempe Goreng Tepung,Totole Kaldu Jamur Non Kolesterol @1kg,,g,
Lauk Nabati (Lainnya),Edamame,Edamame,,g,
Lauk Nabati (Lainnya),Edamame,Garam Refina @500g,,g,
Lauk Nabati (Lainnya),Susu UHT Cimory Full Cream 125 ml,Susu UHT Cimory Full Cream 125 ml,125,ml,
Lauk Nabati (Lainnya),Susu UHT Ultra Full Cream 125 ml,Susu UHT Ultra Full Cream 125 ml,125,ml,
Sayur,Acar Bening Mentimun Wortel,Cuka Makan Dixi @650ml,400,ml,39
Sayur,Acar Bening Mentimun Wortel,Garam Refina @500g,,g,Sayur (Kg)
Sayur,Acar Bening Mentimun Wortel,Gula Pasir,2400,g,Timun Kotor (24) Wortel Kotor (15)
Sayur,Acar Kuning Buncis,Bumbu Dasar Acar Kuning,2,g,33
Sayur,Acar Kuning Buncis,Lada Putih Bubuk,,g,Buncis Kotor (Kg)
Sayur,Acar Kuning Buncis,Garam Refina @500g,,g,30
Sayur,Acar Kuning Buncis,Gula Pasir,,g,Buncis Bersih (Kg)
Sayur,Acar Kuning Buncis,Totole Kaldu Jamur Non Kolesterol @1kg,,g,
Sayur,Capcay,Bawang Putih Kupas,1700,g,50
Sayur,Capcay,Lada Putih Bubuk,150,g,Sayur Bersih (Kg)
Sayur,Capcay,Garam Refina @500g,,g,
Sayur,Capcay,Gula Pasir,,g,
Sayur,Capcay,Totole Kaldu Jamur Non Kolesterol @1kg,,g,
Sayur,Gulai Daun Singkong Nangka Muda,Bumbu Dasar Gulai Kuning,3385,g,50
Sayur,Gulai Daun Singkong Nangka Muda,Santan Kelapa Sun Kara @1liter,3375,ml,Sayur Bersih (Kg)
Sayur,Gulai Daun Singkong Nangka Muda,Lada Putih Bubuk,150,g,
Sayur,Gulai Daun Singkong Nangka Muda,Garam Refina @500g,,g,
Sayur,Gulai Daun Singkong Nangka Muda,Gula Pasir,,g,
Sayur,Gulai Daun Singkong Nangka Muda,Totole Kaldu Jamur Non Kolesterol @1kg,,g,
Sayur,Tumis Bayam Jagung Pipil,Bawang Putih Kupas,1700,g,50
Sayur,Tumis Bayam Jagung Pipil,Lada Putih Bubuk,150,g,Sayur Bersih (Kg)
Sayur,Tumis Bayam Jagung Pipil,Garam Refina @500g,,g,
Sayur,Tumis Bayam Jagung Pipil,Gula Pasir,,g,
Sayur,Tumis Bayam Jagung Pipil,Totole Kaldu Jamur Non Kolesterol @1kg,,g,
Sayur,Tumis Buncis Wortel,Bawang Putih Kupas,1700,g,50
Sayur,Tumis Buncis Wortel,Lada Putih Bubuk,150,g,Sayur Bersih (Kg)
Sayur,Tumis Buncis Wortel,Garam Refina @500g,,g,
Sayur,Tumis Buncis Wortel,Gula Pasir,,g,
Sayur,Tumis Buncis Wortel,Totole Kaldu Jamur Non Kolesterol @1kg,,g,
Sayur,Tumis Kacang Panjang,Bawang Putih Kupas,1700,g,50
Sayur,Tumis Kacang Panjang,Lada Putih Bubuk,150,g,Sayur Bersih (Kg)
Sayur,Tumis Kacang Panjang,Garam Refina @500g,,g,
Sayur,Tumis Kacang Panjang,Gula Pasir,,g,
Sayur,Tumis Kacang Panjang,Totole Kaldu Jamur Non Kolesterol @1kg,,g,
Sayur,Tumis Kangkung,Bawang Putih Kupas,1700,g,50
Sayur,Tumis Kangkung,Lada Putih Bubuk,150,g,Sayur Bersih (Kg)
Sayur,Tumis Kangkung,Garam Refina @500g,,g,
Sayur,Tumis Kangkung,Gula Pasir,,g,
Sayur,Tumis Kangkung,Totole Kaldu Jamur Non Kolesterol @1kg,,g,
Sayur,Tumis Kol Wortel,Bawang Putih Kupas,1700,g,50
Sayur,Tumis Kol Wortel,Lada Putih Bubuk,150,g,Sayur Bersih (Kg)
Sayur,Tumis Kol Wortel,Garam Refina @500g,,g,
Sayur,Tumis Kol Wortel,Gula Pasir,,g,
Sayur,Tumis Kol Wortel,Totole Kaldu Jamur Non Kolesterol @1kg,,g,
Sayur,Tumis Labu Siam Wortel,Bawang Putih Kupas,1700,g,50
Sayur,Tumis Labu Siam Wortel,Lada Putih Bubuk,150,g,Sayur Bersih (Kg)
Sayur,Tumis Labu Siam Wortel,Garam Refina @500g,,g,
Sayur,Tumis Labu Siam Wortel,Gula Pasir,,g,
Sayur,Tumis Labu Siam Wortel,Totole Kaldu Jamur Non Kolesterol @1kg,,g,
Sayur,Tumis Sawi Putih Wortel,Bawang Putih Kupas,1700,g,50
Sayur,Tumis Sawi Putih Wortel,Lada Putih Bubuk,150,g,Sayur Bersih (Kg)
Sayur,Tumis Sawi Putih Wortel,Garam Refina @500g,,g,
Sayur,Tumis Sawi Putih Wortel,Gula Pasir,,g,
Sayur,Tumis Sawi Putih Wortel,Totole Kaldu Jamur Non Kolesterol @1kg,,g,
Sayur,Tumis Wortel Jagung Pipil,Bawang Putih Kupas,1700,g,50
Sayur,Tumis Wortel Jagung Pipil,Lada Putih Bubuk,150,g,Sayur Bersih (Kg)
Sayur,Tumis Wortel Jagung Pipil,Garam Refina @500g,,g,
Sayur,Tumis Wortel Jagung Pipil,Gula Pasir,,g,
Sayur,Tumis Wortel Jagung Pipil,Totole Kaldu Jamur Non Kolesterol @1kg,,g,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,